timestamp,label,confidence,vad
18:23:19,conversational,0.1,False
18:23:20,conversational,0.26,True
18:23:21,conversational,0.34,True
18:23:22,conversational,0.47,False
18:23:23,conversational,0.34,False
18:23:24,conversational,0.21,True
18:23:25,conversational,0.16,False
18:23:26,conversational,0.41,True
18:23:27,conversational,0.16,False
18:23:28,conversational,0.31,False
18:23:29,conversational,0.31,False
18:23:30,conversational,0.42,False
18:23:31,conversational,0.25,False
18:23:32,conversational,0.33,False
18:23:33,music,0.31,False
18:23:34,music,0.63,False
18:23:37,music,0.29,False
18:23:37,music,0.98,False
18:23:37,music,0.43,False
18:23:38,conversational,0.17,True
18:57:26,conversational,0.65,True
18:57:27,conversational,0.66,True
18:57:28,conversational,0.19,False
18:57:29,conversational,0.17,True
18:57:30,conversational,0.45,True
18:57:34,conversational,0.28,True
18:57:34,conversational,0.32,False
18:57:34,conversational,0.93,True
18:57:34,conversational,0.23,True
18:57:35,conversational,0.55,True
18:57:36,conversational,0.53,True
18:57:37,conversational,0.44,True
18:57:38,conversational,0.41,True
18:57:39,conversational,0.45,True
18:57:40,music,0.42,True
18:57:41,music,0.62,True
18:57:44,music,0.3,False
18:57:44,music,0.11,False
18:57:44,music,0.42,True
18:57:45,music,0.52,True
18:57:48,conversational,0.5,False
18:57:51,conversational,0.07,False
18:57:51,conversational,0.17,False
18:57:51,conversational,0.07,False
18:57:51,conversational,0.13,True
18:57:54,conversational,0.22,True
18:57:54,conversational,0.11,False
18:57:54,conversational,0.33,False
18:57:55,conversational,0.12,False
18:57:55,music,0.42,True
18:57:56,music,0.38,True
18:57:57,music,0.58,True
18:58:00,music,0.5,False
18:58:00,music,0.83,False
18:58:00,conversational,0.22,True
18:58:01,conversational,0.33,True
18:58:02,conversational,0.2,True
18:58:03,conversational,0.1,True
18:58:04,conversational,0.22,True
18:58:05,conversational,0.31,True
18:58:06,conversational,0.68,True
18:58:07,conversational,0.31,False
18:58:08,conversational,0.5,True
18:58:09,conversational,0.18,True
18:58:10,conversational,0.25,True
18:58:11,conversational,0.73,True
18:58:12,conversational,0.21,True
18:58:13,conversational,0.32,True
18:58:14,conversational,0.44,True
18:58:15,conversational,0.26,True
18:58:16,conversational,0.3,True
18:58:17,conversational,0.5,True
18:11:14,noisy,0.39,False
18:11:15,noisy,0.22,False
18:11:16,noisy,0.36,False
18:11:17,noisy,0.21,False
18:11:18,noisy,0.28,False
18:11:21,noisy,0.3,False
18:11:21,noisy,0.91,False
18:11:24,noisy,0.27,False
18:11:24,noisy,0.3,False
18:11:24,noisy,0.61,False
18:11:24,noisy,0.4,False
18:11:25,noisy,0.27,False
18:11:26,noisy,0.46,False
18:11:27,noisy,0.22,False
18:11:28,noisy,0.23,False
18:11:29,noisy,0.13,False
18:11:30,noisy,0.48,False
18:11:31,noisy,0.35,False
